sample,mae_with_control,mae_without_control,better
1067,0.7963391542434692,0.7963391542434692,no_control
1068,0.8184438347816467,0.8184438347816467,no_control
1069,0.8272714018821716,0.8272714018821716,no_control
1070,0.8521724939346313,0.8521724939346313,no_control
1071,0.8694047927856445,0.8694047927856445,no_control
1072,0.8814632296562195,0.8814632296562195,no_control
1073,0.8821497559547424,0.8821497559547424,no_control
1074,0.8763335347175598,0.8763335347175598,no_control
1075,0.8771304488182068,0.8771304488182068,no_control
1076,0.8797008395195007,0.8797008395195007,no_control
1077,0.8793402314186096,0.8793402314186096,no_control
1078,0.8806493282318115,0.8806493282318115,no_control
1079,0.8794829845428467,0.8794829845428467,no_control
1080,0.8756222724914551,0.8756222724914551,no_control
1081,0.8744485378265381,0.8744485378265381,no_control
1082,0.8731198906898499,0.8731198906898499,no_control
1083,0.875684916973114,0.875684916973114,no_control
1084,0.878984272480011,0.878984272480011,no_control
1085,0.877556562423706,0.877556562423706,no_control
1086,0.8813483715057373,0.8813483715057373,no_control
1087,0.8828993439674377,0.8828993439674377,no_control
1088,0.8816566467285156,0.8816566467285156,no_control
1089,0.8816950917243958,0.8816950917243958,no_control
1090,0.8833560943603516,0.8833560943603516,no_control
1091,0.8757580518722534,0.8757580518722534,no_control
1092,0.8752864003181458,0.8752864003181458,no_control
1093,0.8809087872505188,0.8809087872505188,no_control
1094,0.8903078436851501,0.8903078436851501,no_control
1095,0.8846929669380188,0.8846929669380188,no_control
1096,0.8788536787033081,0.8788536787033081,no_control
1097,0.8684595227241516,0.8684595227241516,no_control
1098,0.8736083507537842,0.8736083507537842,no_control
1099,0.8734207153320312,0.8734207153320312,no_control
1100,0.874483048915863,0.874483048915863,no_control
1101,0.8755434155464172,0.8755434155464172,no_control
1102,0.8748248219490051,0.8748248219490051,no_control
1103,0.8757168054580688,0.8757168054580688,no_control
1104,0.8784397840499878,0.8784397840499878,no_control
1105,0.8873342275619507,0.8873342275619507,no_control
1106,0.8940791487693787,0.8940791487693787,no_control
1107,0.8970198035240173,0.8970198035240173,no_control
1108,0.9014949202537537,0.9014949202537537,no_control
1109,0.9062452912330627,0.9062452912330627,no_control
1110,0.9165281057357788,0.9165281057357788,no_control
1111,0.930533766746521,0.930533766746521,no_control
1112,0.9331943988800049,0.9331943988800049,no_control
1113,0.9388463497161865,0.9388463497161865,no_control
1114,0.94016033411026,0.94016033411026,no_control
1115,0.9430903792381287,0.9430903792381287,no_control
1116,0.9354563355445862,0.9354563355445862,no_control
1117,0.9453074932098389,0.9453074932098389,no_control
1118,0.9353680610656738,0.9353680610656738,no_control
1119,0.9293313026428223,0.9293313026428223,no_control
1120,0.9240543246269226,0.9240543246269226,no_control
1121,0.9216032028198242,0.9216032028198242,no_control
1122,0.9221298098564148,0.9221298098564148,no_control
1123,0.921314537525177,0.921314537525177,no_control
1124,0.9179720282554626,0.9179720282554626,no_control
1125,0.9139875173568726,0.9139875173568726,no_control
1126,0.9118520617485046,0.9118520617485046,no_control
1127,0.9148792028427124,0.9148792028427124,no_control
1128,0.918663740158081,0.918663740158081,no_control
1129,0.9282751679420471,0.9282751679420471,no_control
1130,0.933992862701416,0.933992862701416,no_control
1131,0.940312385559082,0.940312385559082,no_control
1132,0.9422218799591064,0.9422218799591064,no_control
1133,0.9503733515739441,0.9503733515739441,no_control
1134,0.9576488137245178,0.9576488137245178,no_control
1135,0.964087724685669,0.964087724685669,no_control
1136,0.9821270704269409,0.9821270704269409,no_control
1137,0.9956986904144287,0.9956986904144287,no_control
1138,0.9890868067741394,0.9890868067741394,no_control
1139,0.9869259595870972,0.9869259595870972,no_control
1140,0.9882857799530029,0.9882857799530029,no_control
1141,0.9874485731124878,0.9874485731124878,no_control
1142,0.9858084321022034,0.9858084321022034,no_control
1143,0.9719029664993286,0.9719029664993286,no_control
1144,0.9672208428382874,0.9672208428382874,no_control
1145,0.9687723517417908,0.9687723517417908,no_control
1146,0.9756011962890625,0.9756011962890625,no_control
1147,0.9818465113639832,0.9818465113639832,no_control
1148,0.983050525188446,0.983050525188446,no_control
